"","s1"
"(Intercept)",98.4664460879179
"NC_059182.1.1310314.1310315",5.43270403842321
"NC_059182.1.4502893.4502894",0.66812309905112
"NC_059182.1.12018664.12018665",0.228979309575471
"NC_059182.1.18876737.18876738",-4.80937896208582
"NC_059182.1.19026696.19026697",-2.83341814718544
"NC_059183.1.1399669.1399670",0.0276741099669485
"NC_059183.1.18975674.18975675",-0.863674521192606
"NC_059183.1.18975829.18975830",-3.87236337264587
"NC_059184.1.800943.800944",-2.94517075099363
"NC_059184.1.2263900.2263901",-6.90190458460094
"NC_059184.1.3020652.3020653",2.45360031821309
"NC_059184.1.5817100.5817101",3.15229532702164
"NC_059185.1.620176.620177",-2.85968042935935
"NC_059185.1.2140638.2140639",9.00022476407075
"NC_059185.1.11067866.11067867",0.380612686049181
"NC_059185.1.11392702.11392703",-0.0616357754954032
"NC_059186.1.11665608.11665609",-2.65898008495194
"NC_059187.1.3414530.3414531",-3.75800472397082
"NC_059187.1.10136428.10136429",-1.10578350949307
"NC_059188.1.13636956.13636957",2.48278125626264
"NC_059189.1.81496.81497",0.125826423806854
"NC_059189.1.2802790.2802791",5.31338178883585
"NC_059189.1.8865217.8865218",-7.24084930671271
"NC_059190.1.1839351.1839352",1.70498605081903
"NC_059190.1.2305682.2305683",2.22740309671985
"NC_059190.1.3239440.3239441",-1.0927240123079
"NC_059190.1.10174433.10174434",1.51739140180187
"NC_059191.1.2407902.2407903",-1.80107400103231
"NC_059191.1.9230092.9230093",10.0675752842986
"NC_059188.1.12928399.12928400",0.0962395795138678
"NC_059190.1.3610262.3610263",5.80264784938897
"NC_059187.1.531896.531897",1.97656650534766
"NC_059183.1.12502367.12502368",-1.49634450638629
"NC_059190.1.5038325.5038326",2.06521144173883
"NC_059189.1.7508263.7508264",2.78039575019033
"NC_059190.1.5038060.5038061",7.63249184508667
"NW_025533175.1.34620.34621",-4.0484785217373
